controller,time_s,setpoint_m,position_m,measured_position_m,velocity_m_s,error_m,beam_angle_deg,disturbance_m_s2
PID,8.67,-0.08,-0.08317778329221606,-0.08357283105962085,-0.04188397301403319,0.0031777832922160604,-11.223931050609279,0.0
PID,8.68,-0.08,-0.08354833000817251,-0.08434753156208206,-0.03705467159564526,0.0035483300081725067,5.542612383379182,0.0
PID,8.69,-0.08,-0.08396397809641086,-0.08364150454885119,-0.04156480882383551,0.003963978096410858,-5.175270940239223,0.0
PID,8.700000000000001,-0.08,-0.08439568973170256,-0.08340624952711638,-0.04317116352916936,0.004395689731702554,-1.8410637020378522,0.0
PID,8.71,-0.08,-0.08472344552158537,-0.08641147563094964,-0.032775578988281394,0.004723445521585365,12.000000000000002,0.0
PID,8.72,-0.08,-0.08515515715687706,-0.08327488016667291,-0.04317116352916936,0.0051551571568770604,-12.000000000000002,0.0
PID,8.73,-0.08,-0.08548291294675987,-0.08502915242020766,-0.032775578988281394,0.005482912946759871,12.000000000000002,0.0
PID,8.74,-0.08,-0.08570671289123381,-0.0892668054533837,-0.022379994447393428,0.005706712891233812,12.000000000000002,0.0
PID,8.75,-0.08,-0.08590084509038313,-0.08962389577202788,-0.019413219914932268,0.005900845090383133,3.401671228505154,0.0
PID,8.76,-0.08,-0.08619893313494134,-0.08592548367624175,-0.029808804455820237,0.00619893313494134,-12.000000000000002,0.0
PID,8.77,-0.08,-0.08644918273979256,-0.08664086777051405,-0.025024960485121626,0.006449182739792558,5.490279611983045,0.0
PID,8.78,-0.08,-0.08669525876189209,-0.08665602296694183,-0.024607602209953307,0.006695258761892087,0.4782629081914564,0.0
PID,8.790000000000001,-0.08,-0.08693202050268599,-0.08675122367495253,-0.023676174079389625,0.006932020502685987,1.0673997575313454,0.0
PID,8.8,-0.08,-0.08718268444526316,-0.08648090082366562,-0.025066394257716375,0.007182684445263154,-1.5932803113728577,0.0
PID,8.81,-0.08,-0.08750635692759394,-0.08528738522556656,-0.032367248233078495,0.007506356927593938,-8.396180441115506,0.0
PID,8.82,-0.08,-0.08772607356451584,-0.08972856672942905,-0.02197166369219053,0.007726073564515837,12.000000000000002,0.0
PID,8.83,-0.08,-0.08791643170985074,-0.09007001675031742,-0.01903581453348985,0.007916431709850735,3.3661714637397364,0.0
PID,8.84,-0.08,-0.08809663550975917,-0.0901030794256255,-0.0180203799908435,0.00809663550975917,1.1636822747451219,0.0
